Организация;;;;;;Начальный остаток;Приход;Расход;Конечный остаток
Склад;;;;;;Количество;Количество;Количество;Количество
Источник финансирования;;;;;;;;;
Номенклатура;;;;;Ед. изм.;;;;
Серия номенклатуры, Партия;;;;;;;;;
Регистратор;;;;;;;;;
Отпуск в отделение 0000-000316 от 05.08.2024 11:01:37;;;;;;340,000;;20,000;320,000
Отпуск в отделение 0000-000338 от 16.08.2024 13:28:18;;;;;;320,000;;10,000;310,000
Отпуск в отделение 0000-000370 от 09.09.2024 10:15:29;;;;;;310,000;;20,000;290,000
Отпуск в отделение 0000-000411 от 14.10.2024 10:47:19;;;;;;290,000;;10,000;280,000
Отпуск в отделение 0000-000433 от 28.10.2024 10:31:12;;;;;;280,000;;20,000;260,000
Отпуск в отделение 0000-000444 от 06.11.2024 8:43:10;;;;;;260,000;;20,000;240,000
Отпуск в отделение 0000-000452 от 11.11.2024 10:25:38;;;;;;240,000;;10,000;230,000
Отпуск в отделение 0000-000462 от 18.11.2024 10:23:59;;;;;;230,000;;20,000;210,000
Отпуск в отделение 0000-000495 от 06.12.2024 11:07:16;;;;;;210,000;;10,000;200,000
Отпуск в отделение 0000-000522 от 24.12.2024 15:26:22;;;;;;200,000;;20,000;180,000
Отпуск в отделение 0000-000531 от 27.12.2024 13:33:59;;;;;;180,000;;10,000;170,000
Хлоропирамин р-р 20 мг/мл, амп. 1 см3 (мл), пач. картон. 5 12.23;;;;;амп. 1 см3;200,00;;200,000;
20423 до 30.04.28, <партии не учитываются>;;;;;;200,000;;200,000;
Отпуск в отделение 0000-000017 от 16.01.2024 15:20:56;;;;;;200,000;;200,000;
Хлоропирамин, р-р для в/в и в/м введ. 20 мг/мл, амп. 1 мл, пач. картон. 5 Армав.12.23;;;;;амп. 1 мл;2120,00;;2 120,000;
010322 до 01.04.26, <партии не учитываются>;;;;;;790,000;;790,000;
Отпуск в отделение 0000-000002 от 04.01.2024 11:26:34;;;;;;790,000;;200,000;590,000
Отпуск в отделение 0000-000003 от 09.01.2024 10:35:56;;;;;;590,000;;300,000;290,000
Отпуск в отделение 0000-000010 от 12.01.2024 13:33:24;;;;;;290,000;;50,000;240,000
Отпуск в отделение 0000-000015 от 16.01.2024 14:31:19;;;;;;240,000;;240,000;
020522 до 01.06.26, <партии не учитываются>;;;;;;270,000;;270,000;
Отпуск в отделение 0000-000015 от 16.01.2024 14:31:19;;;;;;270,000;;60,000;210,000
Отпуск в отделение 0000-000019 от 17.01.2024 10:01:43;;;;;;210,000;;100,000;110,000
Отпуск в отделение 0000-000025 от 22.01.2024 10:27:48;;;;;;110,000;;50,000;60,000
Отпуск в отделение 0000-000032 от 29.01.2024 10:15:01;;;;;;60,000;;60,000;
040822 до 01.09.26, <партии не учитываются>;;;;;;1 060,000;;1 060,000;
Отпуск в отделение 0000-000032 от 29.01.2024 10:15:01;;;;;;1 060,000;;40,000;1 020,000
Отпуск в отделение 0000-000037 от 02.02.2024 11:11:51;;;;;;1 020,000;;50,000;970,000
Отпуск в отделение 0000-000040 от 05.02.2024 10:54:32;;;;;;970,000;;300,000;670,000
Отпуск в отделение 0000-000043 от 07.02.2024 10:00:03;;;;;;670,000;;150,000;520,000
Отпуск в отделение 0000-000044 от 07.02.2024 10:46:01;;;;;;520,000;;50,000;470,000
Отпуск в отделение 0000-000050 от 09.02.2024 10:15:35;;;;;;470,000;;100,000;370,000
Отпуск в отделение 0000-000052 от 12.02.2024 10:08:46;;;;;;370,000;;100,000;270,000
Отпуск в отделение 0000-000058 от 16.02.2024 10:39:07;;;;;;270,000;;100,000;170,000
Отпуск в отделение 0000-000062 от 20.02.2024 14:30:18;;;;;;170,000;;100,000;70,000
Отпуск в отделение 0000-000073 от 26.02.2024 10:35:14;;;;;;70,000;;70,000;
Цефтриаксон, пор. д/приг. р-ра для в/в и в/м введ. 1 г, фл. 1000 мг, пач. картон. 1;;;;;фл. 1 г;;25,000;25,000;
51130724 до 31.07.27, <партии не учитываются>;;;;;;;25,000;25,000;
Поступление товаров 0000-000086 от 15.10.2024 10:47:52;;;;;;;25,000;;25,000
Отпуск в отделение 0000-000431 от 28.10.2024 9:36:38;;;;;;25,000;;25,000;
Цитофлавин, р-р для в/в введ., амп. 10 мл, пач. картон. 10;;;;;амп. 10 мл;790,00;;650,000;140,000
4240323 до 28.02.25, <партии не учитываются>;;;;;;650,000;;510,000;140,000
Отпуск в отделение 0000-000126 от 02.04.2024 15:21:09;;;;;;650,000;;10,000;640,000
Отпуск в отделение 0000-000192 от 08.05.2024 10:45:30;;;;;;640,000;;50,000;590,000
Отпуск в отделение 0000-000214 от 23.05.2024 13:10:14;;;;;;590,000;;50,000;540,000
Отпуск в отделение 0000-000251 от 20.06.2024 9:03:18;;;;;;540,000;;40,000;500,000
Отпуск в отделение 0000-000257 от 21.06.2024 10:04:02;;;;;;500,000;;50,000;450,000
Отпуск в отделение 0000-000321 от 07.08.2024 11:08:47;;;;;;450,000;;30,000;420,000
Отпуск в отделение 0000-000354 от 26.08.2024 10:26:30;;;;;;420,000;;50,000;370,000
Отпуск в отделение 0000-000444 от 06.11.2024 8:43:10;;;;;;370,000;;80,000;290,000
Отпуск в отделение 0000-000456 от 13.11.2024 10:55:45;;;;;;290,000;;50,000;240,000
Отпуск в отделение 0000-000522 от 24.12.2024 15:26:22;;;;;;240,000;;50,000;190,000
Отпуск в отделение 0000-000530 от 27.12.2024 10:31:33;;;;;;190,000;;50,000;140,000
4920423 до 31.03.25, <партии не учитываются>;;;;;;140,000;;140,000;
Отпуск в отделение 0000-000050 от 09.02.2024 10:15:35;;;;;;140,000;;50,000;90,000
Отпуск в отделение 0000-000107 от 20.03.2024 10:25:12;;;;;;90,000;;50,000;40,000
Отпуск в отделение 0000-000126 от 02.04.2024 15:21:09;;;;;;40,000;;40,000;
Шпатель одноразовый;;;;;шт;15 900,000;;12 400,000;3 500,000
<серии не учитываются>, <партии не учитываются>;;;;;;15 900,000;;12 400,000;3 500,000
Отпуск в отделение 0000-000004 от 09.01.2024 10:49:31;;;;;;15 900,000;;200,000;15 700,000
Отпуск в отделение 0000-000006 от 09.01.2024 14:00:02;;;;;;15 700,000;;200,000;15 500,000
Отпуск в отделение 0000-000013 от 15.01.2024 11:52:52;;;;;;15 500,000;;200,000;15 300,000
Отпуск в отделение 0000-000018 от 16.01.2024 16:04:21;;;;;;15 300,000;;500,000;14 800,000
Отпуск в отделение 0000-000020 от 18.01.2024 16:03:21;;;;;;14 800,000;;300,000;14 500,000
Отпуск в отделение 0000-000024 от 22.01.2024 10:24:53;;;;;;14 500,000;;300,000;14 200,000
Отпуск в отделение 0000-000026 от 22.01.2024 13:50:00;;;;;;14 200,000;;100,000;14 100,000
Отпуск в отделение 0000-000041 от 05.02.2024 13:36:06;;;;;;14 100,000;;300,000;13 800,000
Отпуск в отделение 0000-000045 от 07.02.2024 11:37:25;;;;;;13 800,000;;300,000;13 500,000
Отпуск в отделение 0000-000048 от 07.02.2024 13:21:23;;;;;;13 500,000;;300,000;13 200,000
Отпуск в отделение 0000-000054 от 12.02.2024 16:36:56;;;;;;13 200,000;;200,000;13 000,000
Отпуск в отделение 0000-000061 от 19.02.2024 11:42:48;;;;;;13 000,000;;300,000;12 700,000
Отпуск в отделение 0000-000068 от 21.02.2024 11:05:17;;;;;;12 700,000;;200,000;12 500,000
Отпуск в отделение 0000-000091 от 11.03.2024 10:47:12;;;;;;12 500,000;;200,000;12 300,000
Отпуск в отделение 0000-000093 от 11.03.2024 11:16:47;;;;;;12 300,000;;200,000;12 100,000
Отпуск в отделение 0000-000105 от 18.03.2024 11:18:10;;;;;;12 100,000;;300,000;11 800,000
Отпуск в отделение 0000-000109 от 22.03.2024 10:41:58;;;;;;11 800,000;;300,000;11 500,000
Отпуск в отделение 0000-000118 от 27.03.2024 10:39:35;;;;;;11 500,000;;100,000;11 400,000
Отпуск в отделение 0000-000125 от 01.04.2024 11:38:11;;;;;;11 400,000;;200,000;11 200,000
Отпуск в отделение 0000-000132 от 03.04.2024 11:32:30;;;;;;11 200,000;;300,000;10 900,000
Отпуск в отделение 0000-000152 от 15.04.2024 9:08:21;;;;;;10 900,000;;200,000;10 700,000
Отпуск в отделение 0000-000158 от 17.04.2024 8:59:05;;;;;;10 700,000;;300,000;10 400,000
Отпуск в отделение 0000-000171 от 24.04.2024 11:54:51;;;;;;10 400,000;;200,000;10 200,000
Отпуск в отделение 0000-000186 от 06.05.2024 11:37:37;;;;;;10 200,000;;200,000;10 000,000
Отпуск в отделение 0000-000207 от 20.05.2024 15:30:14;;;;;;10 000,000;;200,000;9 800,000
Отпуск в отделение 0000-000234 от 04.06.2024 14:48:25;;;;;;9 800,000;;100,000;9 700,000
Отпуск в отделение 0000-000246 от 18.06.2024 13:11:46;;;;;;9 700,000;;200,000;9 500,000
Отпуск в отделение 0000-000250 от 19.06.2024 11:22:49;;;;;;9 500,000;;200,000;9 300,000
Отпуск в отделение 0000-000253 от 20.06.2024 10:44:25;;;;;;9 300,000;;200,000;9 100,000
Отпуск в отделение 0000-000258 от 24.06.2024 11:11:48;;;;;;9 100,000;;300,000;8 800,000
Отпуск в отделение 0000-000287 от 15.07.2024 10:08:21;;;;;;8 800,000;;200,000;8 600,000
Отпуск в отделение 0000-000297 от 17.07.2024 15:45:02;;;;;;8 600,000;;200,000;8 400,000
Отпуск в отделение 0000-000298 от 19.07.2024 10:58:05;;;;;;8 400,000;;200,000;8 200,000
Отпуск в отделение 0000-000342 от 19.08.2024 10:09:23;;;;;;8 200,000;;300,000;7 900,000
Отпуск в отделение 0000-000347 от 22.08.2024 11:55:08;;;;;;7 900,000;;200,000;7 700,000
Отпуск в отделение 0000-000352 от 26.08.2024 10:20:59;;;;;;7 700,000;;100,000;7 600,000
Отпуск в отделение 0000-000353 от 26.08.2024 10:23:25;;;;;;7 600,000;;300,000;7 300,000
Отпуск в отделение 0000-000366 от 05.09.2024 15:31:33;;;;;;7 300,000;;100,000;7 200,000
Отпуск в отделение 0000-000381 от 19.09.2024 8:02:17;;;;;;7 200,000;;200,000;7 000,000
Отпуск в отделение 0000-000383 от 19.09.2024 9:21:38;;;;;;7 000,000;;300,000;6 700,000
Отпуск в отделение 0000-000384 от 20.09.2024 11:14:48;;;;;;6 700,000;;200,000;6 500,000
Отпуск в отделение 0000-000387 от 23.09.2024 10:58:19;;;;;;6 500,000;;300,000;6 200,000
Отпуск в отделение 0000-000406 от 09.10.2024 10:42:08;;;;;;6 200,000;;200,000;6 000,000
Отпуск в отделение 0000-000408 от 11.10.2024 11:08:56;;;;;;6 000,000;;200,000;5 800,000
Отпуск в отделение 0000-000419 от 21.10.2024 10:25:34;;;;;;5 800,000;;200,000;5 600,000
Отпуск в отделение 0000-000421 от 21.10.2024 11:40:13;;;;;;5 600,000;;200,000;5 400,000
Отпуск в отделение 0000-000425 от 23.10.2024 10:44:27;;;;;;5 400,000;;100,000;5 300,000
Отпуск в отделение 0000-000446 от 06.11.2024 11:30:40;;;;;;5 300,000;;100,000;5 200,000
Отпуск в отделение 0000-000455 от 11.11.2024 13:26:22;;;;;;5 200,000;;300,000;4 900,000
Отпуск в отделение 0000-000458 от 15.11.2024 10:55:52;;;;;;4 900,000;;100,000;4 800,000
Отпуск в отделение 0000-000464 от 18.11.2024 11:55:07;;;;;;4 800,000;;200,000;4 600,000
Отпуск в отделение 0000-000466 от 20.11.2024 10:50:41;;;;;;4 600,000;;100,000;4 500,000
Отпуск в отделение 0000-000497 от 06.12.2024 14:02:09;;;;;;4 500,000;;200,000;4 300,000
Отпуск в отделение 0000-000509 от 16.12.2024 9:44:18;;;;;;4 300,000;;200,000;4 100,000
Отпуск в отделение 0000-000514 от 18.12.2024 9:55:17;;;;;;4 100,000;;200,000;3 900,000
Отпуск в отделение 0000-000526 от 25.12.2024 16:38:01;;;;;;3 900,000;;200,000;3 700,000
Отпуск в отделение 0000-000528 от 26.12.2024 16:32:39;;;;;;3 700,000;;200,000;3 500,000
Шприц одноразовый 10 мл;;;;;шт;16 600,000;20 000,000;25 930,000;10 670,000
<серии не учитываются>, <партии не учитываются>;;;;;;16 600,000;20 000,000;25 930,000;10 670,000
Отпуск в отделение 0000-000011 от 12.01.2024 14:20:40;;;;;;16 600,000;;500,000;16 100,000
Отпуск в отделение 0000-000024 от 22.01.2024 10:24:53;;;;;;16 100,000;;500,000;15 600,000
Отпуск в отделение 0000-000038 от 02.02.2024 11:32:13;;;;;;15 600,000;;500,000;15 100,000
Отпуск в отделение 0000-000041 от 05.02.2024 13:36:06;;;;;;15 100,000;;500,000;14 600,000
Отпуск в отделение 0000-000045 от 07.02.2024 11:37:25;;;;;;14 600,000;;500,000;14 100,000
Отпуск в отделение 0000-000048 от 07.02.2024 13:21:23;;;;;;14 100,000;;500,000;13 600,000
Отпуск в отделение 0000-000057 от 16.02.2024 10:36:29;;;;;;13 600,000;;500,000;13 100,000
Отпуск в отделение 0000-000068 от 21.02.2024 11:05:17;;;;;;13 100,000;;500,000;12 600,000
Отпуск в отделение 0000-000070 от 26.02.2024 9:53:14;;;;;;12 600,000;;500,000;12 100,000
Отпуск в отделение 0000-000074 от 27.02.2024 15:25:48;;;;;;12 100,000;;500,000;11 600,000
Отпуск в отделение 0000-000077 от 01.03.2024 11:00:47;;;;;;11 600,000;;500,000;11 100,000
Поступление товаров 0000-000005 от 04.03.2024 11:48:17;;;;;;11 100,000;5 000,000;;16 100,000
Отпуск в отделение 0000-000088 от 06.03.2024 11:24:26;;;;;;16 100,000;;500,000;15 600,000
Отпуск в отделение 0000-000106 от 20.03.2024 10:23:27;;;;;;15 600,000;;500,000;15 100,000
Отпуск в отделение 0000-000125 от 01.04.2024 11:38:11;;;;;;15 100,000;;500,000;14 600,000
Отпуск в отделение 0000-000132 от 03.04.2024 11:32:30;;;;;;14 600,000;;500,000;14 100,000
Отпуск в отделение 0000-000135 от 05.04.2024 15:38:39;;;;;;14 100,000;;500,000;13 600,000
Отпуск в отделение 0000-000160 от 17.04.2024 10:08:58;;;;;;13 600,000;;32,000;13 568,000
Отпуск в отделение 0000-000166 от 23.04.2024 10:16:06;;;;;;13 568,000;;500,000;13 068,000
Отпуск в отделение 0000-000176 от 26.04.2024 11:07:57;;;;;;13 068,000;;500,000;12 568,000
Поступление товаров 0000-000033 от 15.05.2024 15:31:57;;;;;;12 568,000;5 000,000;;17 568,000
Отпуск в отделение 0000-000206 от 20.05.2024 15:28:22;;;;;;17 568,000;;532,000;17 036,000
Отпуск в отделение 0000-000207 от 20.05.2024 15:30:14;;;;;;17 036,000;;500,000;16 536,000
Отпуск в отделение 0000-000215 от 23.05.2024 15:23:32;;;;;;16 536,000;;500,000;16 036,000
Отпуск в отделение 0000-000222 от 27.05.2024 13:07:59;;;;;;16 036,000;;500,000;15 536,000
Отпуск в отделение 0000-000226 от 29.05.2024 16:25:47;;;;;;15 536,000;;500,000;15 036,000
Отпуск в отделение 0000-000244 от 14.06.2024 13:28:52;;;;;;15 036,000;;500,000;14 536,000
Отпуск в отделение 0000-000253 от 20.06.2024 10:44:25;;;;;;14 536,000;;500,000;14 036,000
Отпуск в отделение 0000-000258 от 24.06.2024 11:11:48;;;;;;14 036,000;;500,000;13 536,000
Отпуск в отделение 0000-000266 от 01.07.2024 9:00:02;;;;;;13 536,000;;414,000;13 122,000
Отпуск в отделение 0000-000272 от 03.07.2024 9:59:01;;;;;;13 122,000;;414,000;12 708,000
Отпуск в отделение 0000-000277 от 05.07.2024 13:30:21;;;;;;12 708,000;;414,000;12 294,000
Отпуск в отделение 0000-000305 от 24.07.2024 11:27:00;;;;;;12 294,000;;414,000;11 880,000
Отпуск в отделение 0000-000315 от 02.08.2024 16:48:46;;;;;;11 880,000;;414,000;11 466,000
Отпуск в отделение 0000-000319 от 05.08.2024 13:43:28;;;;;;11 466,000;;414,000;11 052,000
Отпуск в отделение 0000-000327 от 12.08.2024 11:34:32;;;;;;11 052,000;;414,000;10 638,000
Поступление товаров 0000-000076 от 13.08.2024 11:00:17;;;;;;10 638,000;5 000,000;;15 638,000
Отпуск в отделение 0000-000337 от 14.08.2024 10:35:45;;;;;;15 638,000;;414,000;15 224,000
Отпуск в отделение 0000-000339 от 16.08.2024 13:43:29;;;;;;15 224,000;;32,000;15 192,000
Отпуск в отделение 0000-000347 от 22.08.2024 11:55:08;;;;;;15 192,000;;414,000;14 778,000
Отпуск в отделение 0000-000357 от 28.08.2024 11:32:54;;;;;;14 778,000;;414,000;14 364,000
Отпуск в отделение 0000-000379 от 16.09.2024 10:36:41;;;;;;14 364,000;;414,000;13 950,000
Отпуск в отделение 0000-000381 от 19.09.2024 8:02:17;;;;;;13 950,000;;414,000;13 536,000
Отпуск в отделение 0000-000394 от 01.10.2024 10:28:39;;;;;;13 536,000;;414,000;13 122,000
Отпуск в отделение 0000-000399 от 04.10.2024 10:29:22;;;;;;13 122,000;;414,000;12 708,000
Отпуск в отделение 0000-000401 от 08.10.2024 9:27:41;;;;;;12 708,000;;414,000;12 294,000
Отпуск в отделение 0000-000406 от 09.10.2024 10:42:08;;;;;;12 294,000;;414,000;11 880,000
Отпуск в отделение 0000-000416 от 18.10.2024 11:09:16;;;;;;11 880,000;;414,000;11 466,000
Отпуск в отделение 0000-000437 от 01.11.2024 15:42:28;;;;;;11 466,000;;414,000;11 052,000
Отпуск в отделение 0000-000450 от 08.11.2024 11:42:08;;;;;;11 052,000;;414,000;10 638,000
Отпуск в отделение 0000-000466 от 20.11.2024 10:50:41;;;;;;10 638,000;;414,000;10 224,000
Отпуск в отделение 0000-000468 от 20.11.2024 11:14:34;;;;;;10 224,000;;414,000;9 810,000
Поступление товаров 0000-000099 от 22.11.2024 10:27:34;;;;;;9 810,000;5 000,000;;14 810,000
Отпуск в отделение 0000-000472 от 25.11.2024 9:48:13;;;;;;14 810,000;;414,000;14 396,000
Отпуск в отделение 0000-000481 от 28.11.2024 14:14:02;;;;;;14 396,000;;414,000;13 982,000
Отпуск в отделение 0000-000485 от 02.12.2024 10:16:42;;;;;;13 982,000;;414,000;13 568,000
Отпуск в отделение 0000-000497 от 06.12.2024 14:02:09;;;;;;13 568,000;;414,000;13 154,000
Отпуск в отделение 0000-000498 от 06.12.2024 14:05:26;;;;;;13 154,000;;414,000;12 740,000
Отпуск в отделение 0000-000515 от 20.12.2024 11:21:08;;;;;;12 740,000;;414,000;12 326,000
Отпуск в отделение 0000-000525 от 25.12.2024 16:33:37;;;;;;12 326,000;;414,000;11 912,000
Отпуск в отделение 0000-000526 от 25.12.2024 16:38:01;;;;;;11 912,000;;828,000;11 084,000
Отпуск в отделение 0000-000528 от 26.12.2024 16:32:39;;;;;;11 084,000;;414,000;10 670,000
Шприц одноразовый 2 мл;;;;;шт;42 000,000;24 000,000;37 500,000;28 500,000
<серии не учитываются>, <партии не учитываются>;;;;;;42 000,000;24 000,000;37 500,000;28 500,000
Отпуск в отделение 0000-000011 от 12.01.2024 14:20:40;;;;;;42 000,000;;1 200,000;40 800,000
Отпуск в отделение 0000-000024 от 22.01.2024 10:24:53;;;;;;40 800,000;;1 200,000;39 600,000
Отпуск в отделение 0000-000045 от 07.02.2024 11:37:25;;;;;;39 600,000;;1 200,000;38 400,000
Отпуск в отделение 0000-000048 от 07.02.2024 13:21:23;;;;;;38 400,000;;1 200,000;37 200,000
Поступление товаров 0000-000005 от 04.03.2024 11:48:17;;;;;;37 200,000;6 000,000;;43 200,000
Отпуск в отделение 0000-000087 от 06.03.2024 11:21:47;;;;;;43 200,000;;1 200,000;42 000,000
Отпуск в отделение 0000-000088 от 06.03.2024 11:24:26;;;;;;42 000,000;;1 200,000;40 800,000
Отпуск в отделение 0000-000118 от 27.03.2024 10:39:35;;;;;;40 800,000;;1 200,000;39 600,000
Отпуск в отделение 0000-000125 от 01.04.2024 11:38:11;;;;;;39 600,000;;1 200,000;38 400,000
Отпуск в отделение 0000-000132 от 03.04.2024 11:32:30;;;;;;38 400,000;;1 200,000;37 200,000
Отпуск в отделение 0000-000138 от 08.04.2024 11:11:51;;;;;;37 200,000;;1 200,000;36 000,000
Отпуск в отделение 0000-000160 от 17.04.2024 10:08:58;;;;;;36 000,000;;600,000;35 400,000
Отпуск в отделение 0000-000176 от 26.04.2024 11:07:57;;;;;;35 400,000;;1 200,000;34 200,000
Поступление товаров 0000-000033 от 15.05.2024 15:31:57;;;;;;34 200,000;6 000,000;;40 200,000
Отпуск в отделение 0000-000206 от 20.05.2024 15:28:22;;;;;;40 200,000;;600,000;39 600,000
Отпуск в отделение 0000-000215 от 23.05.2024 15:23:32;;;;;;39 600,000;;1 200,000;38 400,000
Отпуск в отделение 0000-000229 от 03.06.2024 11:46:51;;;;;;38 400,000;;1 200,000;37 200,000
Отпуск в отделение 0000-000253 от 20.06.2024 10:44:25;;;;;;37 200,000;;1 200,000;36 000,000
Отпуск в отделение 0000-000277 от 05.07.2024 13:30:21;;;;;;36 000,000;;1 200,000;34 800,000
Отпуск в отделение 0000-000284 от 12.07.2024 11:21:40;;;;;;34 800,000;;1 200,000;33 600,000
Отпуск в отделение 0000-000287 от 15.07.2024 10:08:21;;;;;;33 600,000;;1 200,000;32 400,000
Отпуск в отделение 0000-000301 от 22.07.2024 13:03:08;;;;;;32 400,000;;1 200,000;31 200,000
Отпуск в отделение 0000-000319 от 05.08.2024 13:43:28;;;;;;31 200,000;;1 200,000;30 000,000
Поступление товаров 0000-000076 от 13.08.2024 11:00:17;;;;;;30 000,000;6 000,000;;36 000,000
Отпуск в отделение 0000-000337 от 14.08.2024 10:35:45;;;;;;36 000,000;;1 200,000;34 800,000
Отпуск в отделение 0000-000339 от 16.08.2024 13:43:29;;;;;;34 800,000;;600,000;34 200,000
Отпуск в отделение 0000-000362 от 02.09.2024 11:34:19;;;;;;34 200,000;;1 200,000;33 000,000
Отпуск в отделение 0000-000396 от 02.10.2024 9:55:15;;;;;;33 000,000;;1 200,000;31 800,000
Отпуск в отделение 0000-000406 от 09.10.2024 10:42:08;;;;;;31 800,000;;1 200,000;30 600,000
Отпуск в отделение 0000-000419 от 21.10.2024 10:25:34;;;;;;30 600,000;;1 200,000;29 400,000
Отпуск в отделение 0000-000425 от 23.10.2024 10:44:27;;;;;;29 400,000;;1 200,000;28 200,000
Отпуск в отделение 0000-000450 от 08.11.2024 11:42:08;;;;;;28 200,000;;1 200,000;27 000,000
Отпуск в отделение 0000-000455 от 11.11.2024 13:26:22;;;;;;27 000,000;;900,000;26 100,000
Отпуск в отделение 0000-000464 от 18.11.2024 11:55:07;;;;;;26 100,000;;1 200,000;24 900,000
Отпуск в отделение 0000-000466 от 20.11.2024 10:50:41;;;;;;24 900,000;;1 200,000;23 700,000
Поступление товаров 0000-000099 от 22.11.2024 10:27:34;;;;;;23 700,000;6 000,000;;29 700,000
Отпуск в отделение 0000-000526 от 25.12.2024 16:38:01;;;;;;29 700,000;;1 200,000;28 500,000
Шприц одноразовый 20 мл;;;;;шт;19 800,000;30 000,000;35 788,000;14 012,000
<серии не учитываются>, <партии не учитываются>;;;;;;19 800,000;30 000,000;35 788,000;14 012,000
Отпуск в отделение 0000-000006 от 09.01.2024 14:00:02;;;;;;19 800,000;;300,000;19 500,000
Отпуск в отделение 0000-000009 от 12.01.2024 10:47:51;;;;;;19 500,000;;300,000;19 200,000
Отпуск в отделение 0000-000018 от 16.01.2024 16:04:21;;;;;;19 200,000;;300,000;18 900,000
Отпуск в отделение 0000-000021 от 19.01.2024 14:31:55;;;;;;18 900,000;;600,000;18 300,000
Отпуск в отделение 0000-000038 от 02.02.2024 11:32:13;;;;;;18 300,000;;600,000;17 700,000
Отпуск в отделение 0000-000041 от 05.02.2024 13:36:06;;;;;;17 700,000;;300,000;17 400,000
Отпуск в отделение 0000-000045 от 07.02.2024 11:37:25;;;;;;17 400,000;;300,000;17 100,000
Отпуск в отделение 0000-000048 от 07.02.2024 13:21:23;;;;;;17 100,000;;300,000;16 800,000
Отпуск в отделение 0000-000049 от 09.02.2024 10:13:49;;;;;;16 800,000;;300,000;16 500,000
Отпуск в отделение 0000-000054 от 12.02.2024 16:36:56;;;;;;16 500,000;;600,000;15 900,000
Отпуск в отделение 0000-000068 от 21.02.2024 11:05:17;;;;;;15 900,000;;300,000;15 600,000
Отпуск в отделение 0000-000070 от 26.02.2024 9:53:14;;;;;;15 600,000;;600,000;15 000,000
Отпуск в отделение 0000-000074 от 27.02.2024 15:25:48;;;;;;15 000,000;;600,000;14 400,000
Поступление товаров 0000-000005 от 04.03.2024 11:48:17;;;;;;14 400,000;7 500,000;;21 900,000
Отпуск в отделение 0000-000087 от 06.03.2024 11:21:47;;;;;;21 900,000;;300,000;21 600,000
Отпуск в отделение 0000-000088 от 06.03.2024 11:24:26;;;;;;21 600,000;;600,000;21 000,000
Отпуск в отделение 0000-000091 от 11.03.2024 10:47:12;;;;;;21 000,000;;300,000;20 700,000
Отпуск в отделение 0000-000100 от 14.03.2024 15:51:38;;;;;;20 700,000;;600,000;20 100,000
Отпуск в отделение 0000-000105 от 18.03.2024 11:18:10;;;;;;20 100,000;;300,000;19 800,000
Отпуск в отделение 0000-000113 от 22.03.2024 13:53:49;;;;;;19 800,000;;600,000;19 200,000
Отпуск в отделение 0000-000118 от 27.03.2024 10:39:35;;;;;;19 200,000;;600,000;18 600,000
Отпуск в отделение 0000-000125 от 01.04.2024 11:38:11;;;;;;18 600,000;;300,000;18 300,000
Отпуск в отделение 0000-000132 от 03.04.2024 11:32:30;;;;;;18 300,000;;300,000;18 000,000
Отпуск в отделение 0000-000141 от 09.04.2024 11:54:04;;;;;;18 000,000;;600,000;17 400,000
Отпуск в отделение 0000-000152 от 15.04.2024 9:08:21;;;;;;17 400,000;;300,000;17 100,000
Отпуск в отделение 0000-000158 от 17.04.2024 8:59:05;;;;;;17 100,000;;300,000;16 800,000
Отпуск в отделение 0000-000164 от 22.04.2024 10:44:01;;;;;;16 800,000;;300,000;16 500,000
Отпуск в отделение 0000-000166 от 23.04.2024 10:16:06;;;;;;16 500,000;;300,000;16 200,000
Отпуск в отделение 0000-000176 от 26.04.2024 11:07:57;;;;;;16 200,000;;600,000;15 600,000
Отпуск в отделение 0000-000178 от 02.05.2024 14:32:27;;;;;;15 600,000;;300,000;15 300,000
Отпуск в отделение 0000-000185 от 06.05.2024 11:28:59;;;;;;15 300,000;;300,000;15 000,000
Отпуск в отделение 0000-000186 от 06.05.2024 11:37:37;;;;;;15 000,000;;300,000;14 700,000
Отпуск в отделение 0000-000195 от 15.05.2024 11:39:36;;;;;;14 700,000;;300,000;14 400,000
Поступление товаров 0000-000033 от 15.05.2024 15:31:57;;;;;;14 400,000;7 500,000;;21 900,000
Отпуск в отделение 0000-000199 от 17.05.2024 9:56:43;;;;;;21 900,000;;100,000;21 800,000
Отпуск в отделение 0000-000206 от 20.05.2024 15:28:22;;;;;;21 800,000;;400,000;21 400,000
Отпуск в отделение 0000-000208 от 20.05.2024 15:32:03;;;;;;21 400,000;;600,000;20 800,000
Отпуск в отделение 0000-000215 от 23.05.2024 15:23:32;;;;;;20 800,000;;300,000;20 500,000
Отпуск в отделение 0000-000226 от 29.05.2024 16:25:47;;;;;;20 500,000;;600,000;19 900,000
Отпуск в отделение 0000-000229 от 03.06.2024 11:46:51;;;;;;19 900,000;;300,000;19 600,000
Отпуск в отделение 0000-000234 от 04.06.2024 14:48:25;;;;;;19 600,000;;300,000;19 300,000
Отпуск в отделение 0000-000241 от 10.06.2024 11:01:56;;;;;;19 300,000;;300,000;19 000,000
Отпуск в отделение 0000-000246 от 18.06.2024 13:11:46;;;;;;19 000,000;;600,000;18 400,000
Отпуск в отделение 0000-000250 от 19.06.2024 11:22:49;;;;;;18 400,000;;600,000;17 800,000
